,Settings,Archive ICD- Codes,"As a SuperAdmin, I should be able to archive ICD-10 codes",,,New,1,1,
,Settings,View ICD- 10 Codes List,"As a SuperAdmin, I should be able to View the list of ICD-10 codes",,,New,1,1,
,Settings,Import & Export ICD-10 codes,"As a SuperAdmin, I should be able to Import & Export ICD-10 Codes",,,New,4,2,
,Settings,Search & Apply Filter,"As a SuperAdmin, I should be able to Search and filter the ICD-10 codes.",,,New,1,1,
,Settings,Manage Service Codes,"As a SuperAdmin, I should be able to manage service codes and map them to specific service types and specialties.",,,New,2,2,
,Settings,View Support Tickets,"As a SuperAdmin, I should be able to view all support tickets submitted by facilities",,,New,2,2,
,Settings,Add Speciality,"As a SuperAdmin, I should be able to add Speciality",,,New,1,1,
,Settings,Edit Speciality,"As a SuperAdmin, I should be able to edit Speciality",,,New,1,1,
,Settings,View List of Specialities,"As a Superadmin, I should be able to view list of Specialities",,,New,1,1,
,Settings,Archive Speciality,"As a Superadmin, I should be able to archive list of specialities",,,New,1,1,
,Form Builder,Create Form,"As an SuperAdmin, I should be able to create forms using form builder",,,New,4,4,
,Form Builder,Archive Form,"As an SuperAdmin, I should be able to archive forms ",,,New,2,2,
,Form Builder,Duplicate Form,"As an SuperAdmin, I should be able to duplicate form",,,New,2,2,
,Form Builder,Manage Templates,"As an SuperAdmin, I should be able to save a form as a template, view the template library, edit, delete and assign templates to specific facilities",,,New,4,4,
,Form Builder,Submit Form,"As a SuperAdmin, I should be able to save and submit a form ",,,New,4,4,
Audit Log,,,,,,,,,
,Audit Log,View Audit Logs,"As an SuperAdmin, I should be able to view all the audit logs for company level",,,New,8,8,
,Audit Log,Download Audit Logs,"As a SuperAdmin, I should be able to download audit logs file in CSV & PDF file",,,New,8,8,
,Audit Log,Search & filter Logs,"As an SuperAdmin, I should be able to Search & filter logs",,,New,2,2,
Document & Invoice Branding,,,,,,,,,
,Document & Invoice Branding,Logo on Generated Documents,"As a SuperAdmin, I should be able to configure each facility's logo to automatically appear on all system-generated documents",Yes,Must Have,Retained,4,4,
,Document & Invoice Branding,Facility Name on Document Header,"As a SuperAdmin, I should be able to configure the legal facility name that appears on all document headers ",Yes,Must Have,Retained,4,4,
,Document & Invoice Branding,Logo on Invoices,"As a SuperAdmin, I should be able to configure each facility's logo to appear on all generated invoices",Yes,Should Have,Retained,4,4,
Notifications,,,,,,,,,
,Notifications,View Notification Settings,"As an SuperAdmin, I should be able to view notification settings for different events (User Add, Facility Add, Task)",,,New,8,8,
,Notifications,Enable / Disable Settings,"As an SupeAdmin, I should be able to enable or disable notification channels (SMS, Email, Push Notifications, Family Portal) for each event",,,New,8,8,
,Notifications,Save Preference,"As an SuperAdmin, I should be able to save updated notification preferences",,,New,8,8,
,Notifications,Track Changes,"As a SuperAdmin, I should track changes made to notification settings",,,New,4,4,
Service Combination Configuration,,,,,,,,,
,Service Configuration,Configure Service Types,"As a SuperAdmin, I should be able to configure a facility with a single service type (ADH, ALF, MC, IL or Home Care), a combination of two service types, or all three (IL + ALF + MC).",,,Removed,,,
,Service Configuration,Update Service Combination,"As a SuperAdmin, I should be able to update a facility's service type combination",,,Removed,,,
