,,,,,,,,,
#,Category,Capability, User Story,Required?,Priority,Status,Frontend,Backend,Client comments
,Patient charting - ALF,Add Support/Maintenance Tickets,"As a Provider, I should be able to add support or maintenance ticket for facility issues.",,,New,,,
,Patient charting - ALF,Edit Support/Maintenance Tickets,"As a Provider, I should be able to edit support or maintenance ticket for facility issues.",,,New,,,
,Patient charting - ALF,View list of Support/Maintenance Tickets,"As a Provider, I should be able to view list of support or maintenance ticket for facility issues.",,,New,,,
,Patient charting - ALF,Search Resident Tickets,"As a Provider, I should be able search and filter tickets for a resident.",,,New,,,
,Patient charting - ALF,Add Inventory,"As a Provider, I should be able to add inventory items of the resident.",,,New,,,
,Patient charting - ALF,Edit Inventory,"As a Provider, I should be able to edit inventory items of the resident.",,,New,,,
,Patient charting - ALF,View list of Inventory,"As a Provider, I should be able to view list of inventory items of the resident.",,,New,,,
,Patient charting - ALF,Search/Filter Inventory,"As a Provider, I should be able to search and filter inventory items of the resident.",,,New,,,
,Patient charting - ALF,Add Face-to-Face Notes,"As a Provider, I should be able to add face-to-face assessment notes with CNA + RN approval workflow.",,,New,,,
,Patient charting - ALF,Edit Face-to-Face Notes,"As a Provider, I should be able to edit face-to-face assessment notes with CNA + RN approval workflow.",,,New,,,
,Patient charting - ALF,View list of Face-to-Face Notes,"As a Provider, I should be able to view list of face-to-face assessment notes with CNA + RN approval workflow.",,,New,,,
,Patient charting - ALF,Upload CNA Signature,"As a Provider, I should be able to upload CNA signature for face-to-face note.",,,New,,,
,Patient charting - ALF,Route for RN Approval,"As a Provider, I should be able to route to RN for final approval and signature.",,,New,,,
Respite Care,,,,,,,,,
,Respite Care,Add Respite Resident,"As a Provider, I should be able to add a new Resident as a Respite Care Resident at the time of admission",,,New,,,
,Respite Care,Edit Respite Resident,"As a Provider, I should be able to edit a new patient as a Respite Care Resident at the time of admission",,,New,,,
,Respite Care,Room Assignment ,"As a Provider, I should be able to assign a room to a Respite Care patient using the standard room assignment flow",,,New,,,
,Respite Care,Deposit Collection,"As a Provider, I should be able to collect an upfront deposit payment from a Respite Care patient at the time of admission",,,New,,,
,Respite Care,Add Vitals,"As a Provider, I should be able to add Vitals for a Respite Care Resident",,,New,,,
,Respite Care,Edit Vitals,"As a Provider, I should be able to edit Vitals for a Respite Care Resident",,,New,,,
,Respite Care,View Vitals List,"As a Provider, I should be able to View list of Vitals for a Respite Care Resident",,,New,,,
,Respite Care,Add and Edit Medications,"As a Provider, I should be able to add & edit medications administered to a Respite Care Resident during their stay",,,New,,,
,Respite Care,Discharge Process,"As a Provider, I should be able to discharge a Respite Care patient by recording the actual discharge date",,,New,,,
,Respite Care,Room Release on Discharge,"As a Provider, when a Respite Care patient is discharged, the assigned room should automatically be marked as available again",,,New,,,
Independent Living ,,,,,,,,,
,Independent Living ,IL Resident View,"As a Provider, I should be able to view a residents list filtered specifically by Independent Living ",,,New,,,
,Independent Living ,Medication Module - Visibility,"As a Provider, if the facility offers IL along with ALF or MC, the medication module should be visible and available for all residents including IL residents who choose to use it",,,New,,,
,Independent Living ,Add Vitals,"As a Provider, I should be able to add Vitals for a IL Resident",,,New,,,
,Independent Living ,Edit Vitals,"As a Provider, I should be able to edit Vitals for a IL Resident",,,New,,,
,Independent Living ,View Vitals List,"As a Provider, I should be able to View list of Vitals for a IL Resident",,,New,,,
,Independent Living ,Add Progress Notes,"As a Provider, I should be able to add progress notes for an IL resident",,,New,,,
,Independent Living ,Edit Progress Notes,"As a Provider, I should be able to edit progress notes for an IL resident",,,New,,,
,Independent Living ,View Progress Notes List,"As a Provider, I should be able to view list of progress notes for an IL resident",,,New,,,
,Independent Living ,Add Allergies,"As a Provider, I should be able to add allergy information for an IL resident.",,,New,,,
,Independent Living ,Edit Allergies,"As a Provider, I should be able to edit allergy information for an IL resident.",,,New,,,
,Independent Living ,View Allergies List,"As a Provider, I should be able to view list of allergy information for an IL resident.",,,New,,,
Memory Care,,,,,,,,,
,Behavior tracking,Log behavioral events,"As caregivers, I should be able to log behavior events such as wandering or aggression",Yes,Must have,Retained,4,8,
,Cognitive assessment,Record cognitive scores,"As providers, I should be able to record MMSE or memory assessments for residents",Yes,Must have,Retained,4,8,
,Elopement risk tagging,Mark high-risk residents,"As staff, I should be able to flag high-risk elopement residents",Yes,Must have,Retained,4,8,
,Elopement alerting,Receive elopement alerts,"As caregivers, I should receive alerts when a high-risk resident attempts to leave the area",Yes,Must have,Retained,4,8,
,Daily engagement,Log activity participation,"As caregivers, I should be able to record participation in memory care activities",Yes,Must have,Retained,4,4,
,Family updates,Send behavior updates,"As staff, I should be able to notify families about important behavior or care updates",Yes,Must have,Retained,4,8,
,Memory Care ,Service Type – Room Assignment,"As a Provider, I should be able to assign a room specifically as a Memory Care room during facility setup",,,New,,,
,Memory Care ,Add Medication,"As a Provider, I should be able to add medication details for residents",,,New,,,
,Memory Care ,Edit Medication,"As a Provider, I should be able to edit medication details for residents",,,New,,,
,Memory Care ,View list of Medication,"As a Provider, I should be able to View list of medication details for residents",,,New,,,
,Memory Care ,Pain Scale at Top of Charting,"As a Provider, I should be able to see the current pain scale level of the Memory Care resident at the very top of their charting screen",,,New,,,
,Memory Care ,Add Incident Report,"As a Provider, I should be able to add an incident report for a Memory Care resident inside their patient charting",,,New,,,
,Memory Care ,Edit Incident Report,"As a Provider, I should be able to Edit an incident report for a Memory Care resident inside their patient charting",,,New,,,
,Memory Care ,View List of Incident,"As a Provider, I should be able to View list of incident report for a Memory Care resident inside their patient charting",,,New,,,
Scheduling,,,,,,,,,
,Scheduling,Calendar view,"As an Admin, I should be able to access a real-time/common calendar, So that I can view and manage appointments, tasks, and events across the platform.",Yes,Must Have,Removed,8,8,
,Scheduling Views,Grid View,"As a scheduler, I should be able to view shifts and visits in a grid/table format showing staff assignments across time periods",Yes,Must Have,Removed,4,4,
,Filtering,Facility Filter,"As a scheduler, I should be able to filter the scheduling board by specific facilities or multiple facilities.",Yes,Must Have,Retained,4,4,
,Drag-and-Drop,ADHS Shift Assignment,"As a scheduler, I should be able to drag and drop staff to assign them to Adult Day Health Services shifts.",Yes,Must Have,Removed,4,4,
,Scheduling ,List of todays clients tasks,"As a admin, I should be able to see scheduled clients list with assigned Caregiver with check in time",Yes,Must Have,Removed,4,4,
,Schedule Shift,Shift details,"As a admin, I should be able to add shift details
 - Client
 - Care giver
 - select time
 - Service Billing Type",Yes,Must Have,Removed,4,4,
,View My Calender,Details,"As a admin, I should be able to view details regarding appointment for selected client or caregiver
- Appointments
- With authorizations
- Scheduled hours
- Authorized hours",Yes,Must Have,Removed,4,4,
,View My Calender,Filters,"As a user, i should be able to apply filters on calander to get required appointment details on calander
- Cancelled
- Deleted
- Active
- Authorized
- Attendance
- Tasks",Yes,Must Have,Removed,8,8,
,Scheduling,New Event,"As a provider, I should be able to create new event in my calander by selecting
- Appointment Details (Time, Region, Type, Provider..etc)
- Location Details
- Autherization and Billing
- Note",Yes,Must Have,Removed,8,8,
,Scheduling,System > Auto pop up for autherization code,"As a system, i should be able to suggest the autherization code based on selected type of appointment",Yes,Must Have,Removed,4,4,
,Scheduling,Autherization and Billing,"As a provider, I should be able to add auth code based on the service required",Yes,Must Have,Removed,2,4,
,Shift setting,set working hours/ Shift,"As a Admin, I should be able to add/update/delete working hours for Caregiver",Yes,Must Have,Removed,4,4,
,Shift setting,Time clocking setting,"As a Admin, I should be able to do seting for check in and check out time allowing.",Yes,Nice to Have,Removed,2,2,
,EVV workflow,list of EVV check in & out,"As system, I should be able to show Caregiver check in & check out time and GPS location.",No,,Removed,4,4,
,EVV,Edit EVV schedule,"As a System, I should be able to edit EVV scheduled
- View client rate 
- Caregiver rate
- Adjust time
- decide to pay more or not",No,,Removed,8,8,
               ,Conflict Detection,Double-Booking Detection,"As a scheduler, I should receive immediate alerts when attempting to assign staff to overlapping shifts.",Yes,Must Have,Removed,4,4,
,Availability,View Staff Availability,"As a scheduler, I should be able to view each staff member's available, unavailable, and preferred time slots.",Yes,Must Have,Removed,8,8,
,Shift Creation,Create Open Shifts,"As a scheduler, I should be able to create open shifts by specifying date, time, duration, location, program type, and required skills.",Yes,Must Have,Removed,4,4,
,NEMT Routing,Create Routes,"As a scheduler, I should be able to create NEMT routes by specifying pickup/drop-off locations, times, and patient details.",No,,Removed,12,12,
,Scheduling,Calendar View,"As a Provider, I should be able to view the monthly, weekly and daily schedule of visits / appointments",,,New,,,
,Scheduling,Create Calendar Appointment,"As a Provider, I should be able to create a new appointment for a member directly from the calendar",,,New,,,
,Scheduling,Search Member Appointments,"As a Provider, I should be able to search for a member by name to find their appointments.",,,New,,,
,Scheduling,Filter Appointments,"As a Provider, I should be able to filter the visits appointments.",,,New,,,
Facility Compliance,,,,,,,,,
,Compliance Monitoring,Real-Time Compliance Dashboard,"As a compliance manager, I should be able to view a dashboard showing all compliance tasks categorized by status (completed, upcoming within 7 days, overdue), filterable by facility, task type, and date range, with visual alerts for critical overdue items and one-click access to complete or review any task",Yes,Must Have,Retained,4,4,
,Automated Scheduling,Configurable Compliance Schedules,"As a compliance manager, I should be able to create recurring compliance tasks with flexible schedules (daily, weekly, monthly, quarterly, annually) that automatically generate on the specified intervals, assign to responsible staff, and send reminders before due dates to ensure timely completion.",Yes,Must Have,Retained,4,4,
,Digital Logs,Safety & Equipment Logging,"As a staff member, I should be able to digitally record compliance activities including fire drills, refrigerator temperature checks, generator tests, emergency equipment inspections, and facility safety walkthroughs with date/time stamps, staff signatures, and recorded values or observations.",Yes,Must Have,Retained,4,4,
,Documentation Evidence,Photo & Document Attachments,"As a staff member, I should be able to attach supporting evidence to compliance logs including photos (equipment readings, facility conditions, completed repairs), scanned documents (inspection reports, certificates, vendor invoices), and notes to create a complete audit trail for regulatory reviews.",Yes,Must Have,Retained,4,4,
Contacts,,,,,,,,,
,Contacts,View contact details,"As a user, I should be able to see all contacts linked to the resident in one place.",Yes,Must have,Removed,4,4,1
,Contacts,Add contact,"As a user, I should be able to add a new contact 
 1. personal
 2.Guardian
 3 POA
 4. Representative payee
 5. Emergency-only",Yes,Must have,Removed,4,4,1
,Contacts,Update & remove contact,"As a user, I should be able to update & remove an existing contact’s information.",Yes,Must have,Removed,1,1,1
,Contacts,Assign contact (make responsible person or Mark legal roles),"As a user, I should be able to assign a contact as the Responsible Person or primary user.",Yes,Must have,Removed,1,1,1
,Portal Access Control per Contact,Grant/restrict portal access,"As a provider, I should be able to grant or restrict portal access for specific family contacts based on their legal relationship and authorization level.",Yes,Must have,Removed,8,8,
,Preferred Communication Method,Track communication preferences,"As a provider, I should be able to track and honor each contact's preferred communication method (phone, email, SMS, portal) and language preference.",Yes,Must have,Removed,8,8,
,Care team,,,,,,,,
,Care team,List of care team ,"As a provider, I should be able to list of care team.",Yes,Must have,Removed,2,2,
,Care team,add care team,"As a provider, I should be able to add care team 
 - primary physician 
 - specialist list ",Yes,Must have,Removed,2,2,
,Care team,update or remove,"As a provider, I should be able to update or remove contact",Yes,Must have,Removed,2,2,
,Enrollment,,,,,,,,
,Multi-Program Enrollment,Enroll in multiple programs,"As a provider, I should be able to enroll a single member in multiple programs simultaneously (ADHS level, ALF level, Home Care hours) with separate start/stop dates and referral sources for each program.",Yes,Must have,Removed,8,8,
,Enrollment,Program Enrollment,"As an Intake Specialist, I need to enroll a patient into one or more specific programs (e.g., ADHS Level II, 20 HC Hours/Week) during the intake process, and define the Start Date and, optionally, an Expected Stop Date, so that service delivery is correctly initiated and tracked.",Yes,Must have,Removed,8,8,
,Enrollment,Enrollment Details,"As an Intake Specialist, I need to record the Referral Source and Responsible Clinician/Case Manager for the patient's enrollment in each program, so that care coordination and accountability are clearly established.",Yes,Must have,Removed,8,8,
,Goal & Intervention Tracking,Track goals with review dates,"As a provider, I should be able to set specific goals and interventions for each member with scheduled review dates and track progress over time.",Yes,Must have,Removed,8,8,
,Profile Details,,,,,,,,
,Profile Details,Add & update details,"As a user, I should be able to add & update move-in profile details (E.g. Risk- Factors, Allergies)",Yes,Must have,Removed,4,4,
,Profile Details,Download emergency packets,"As a User, I should be able to download emergency packets, including:
- Facesheet
- POLST
- Insurance card",Yes,Must have,Removed,4,4,
,Profile Details,"View, Add & edit Profile Details (Sections)","As a user, I should be able to view & edit the complete profile details",Yes,Must have,Removed,4,4,
,Assessment Tools,,,,,,,,
,Assessment Tools,Standard assessment templates,"As a user, I should be able to complete predefined assessment templates such as pain scale, fall risk, and PHQ-9 so evaluations are standardized.",Yes,Must have,Retained,4,4,
,Assessment Tools,Custom scales/forms,"As a user, I should be able to create or use custom assessment scales so the system supports practice-specific needs.",Yes,Must have,Retained,4,4,
,Initial assessment,Start assessment,"As a user, I should be able to view and complete the assessment step by step",Yes,Must have,Retained,4,4,
,Initial assessment,Percentage completion,"As a user, I should be able to view the completion percentage based on the filled assessment details",Yes,Must have,Retained,4,4,
,Initial assessment,Save & Resume Progress,"As a user, I should be able to save as draft the assessment at any point without losing data.",Yes,Must have,Retained,4,4,
,Initial assessment,View & download Completed Assessment,"As a user, I should be able to review & download the completed assessment, with a preview of all filled sections",Yes,Must have,Retained,4,4,
,Initial assessment,Generate Initial Care Plan,"As a system, once the resident is admitted, the system should automatically generate an initial care plan based on the completed assessment.",Yes,Must have,Retained,12,12,
,Initial assessment,Auto-Populate assessment Data in sub-sections,"As a user, details from the completed assessment should auto-populate into relevant subsections of the move-in form (e.g., resident info, care, allergies).",Yes,Must have,Retained,4,4,
,,,,,,,,,
,Allergies,Allergies,"As a Provider, I should be able to add, view update & delete allergies.",Yes,Must have,Removed,2,2,
,Diagnoses,Diagnosis,"As a Provider, I should be able to add, view and edit diagnoses.",Yes,Must have,Removed,2,2,
,Vitals Capture,"Record vitals (BP, HR, Temp, SpO₂, Weight, etc.)","As a user, I should be able to capture and record vitals such as BP, HR, temperature, SpO₂, and weight so the patient’s clinical status is accurately documented.",Yes,Must have,Removed,4,4,
,Vitals Capture,Edit/update vitals,"As a user, I should be able to edit or update previously recorded vital signs so errors can be corrected.",Yes,Must have,Removed,2,2,
,Vitals Trends,View longitudinal vital trends,"As a user, I should be able to view vitals across multiple encounters so I can identify changes over time.",Yes,Must have,Removed,2,2,
,Vitals Trends,Graphs for vitals,"As a user, I should be able to view visual charts/graphs of vital sign trends so patterns are easier to identify.",Yes,Must have,Removed,8,8,
,Alerts & Safety,Alerts for abnormal vitals,"As a user, I should receive alerts when vital values fall outside the safe range so I can take timely action.",Yes,Must have,Removed,2,2,
,Alerts & Safety,Customizable alert thresholds,"As a user, I should be able to set custom threshold ranges for alerts so they reflect specific patient needs.",Yes,Must have,Removed,2,2,
,,,,,,,,,
,Meal Count Tracking,Track meals by type/diet,"As a provider, I should be able to track meal counts by type (breakfast, lunch, snack) and diet restrictions for accurate food service planning and reimbursement.",No,,Removed,8,8,
,Activity Calendar,Manage activity schedule,"As a provider, I should be able to manage an activity calendar showing center-wide and program-specific activities with scheduling and participation tracking.",No,,Removed,8,8,
,Activity Attendance Tracking,Track activity participation,"As a provider, I should be able to track which members participate in each activity for engagement reporting and care plan documentation.",No,,Removed,8,8,
,Exportable Logs,Export for reimbursement,"As a provider, I should be able to export meal and activity logs in formats required for reimbursement claims and regulatory audits.",No,,Removed,8,8,
,,,,,,,,,
,Documents,List Documents,"As a provider, I should be able to view a list of patients documents.",Yes,Must have,Removed,2,2,
,Documents,Upload Documents,"As a provider, I should be able to upload new documents.",Yes,Must have,Removed,2,4,
,Documents,Manage document Types,"As a provider, I should be able to add, update and delete document types.",Yes,Must have,Removed,2,4,
,Documents,Sticky notes,"As a Provider, I should be able to add, view and delete sticky notes",Yes,Must have,Removed,2,2,
,,,,,,,,,
,Visit,Visit ,"As a provider, I should be able to view list of upcoming and past visit notes.",Yes,Must have,Removed,2,2,
,Visit,view summary,"As a provider, I should be able to view visit summary.",Yes,Must have,Removed,4,4,
,,,,,,,,,
,Financials,patient financial dashboard,"As a provider, I should be able to view patient balance details.",Yes,Must have,Removed,4,4,
,Insurance,Insurance amount,"As a provider, I should be able to view a list of insurance payments paid.",Yes,Must have,Removed,4,4,
,Billing,Add payment,"As a provider, I should be able to add insurance and patient payments.",Yes,Must have,Removed,8,8,
,,,,,,,,,
,Insurance,Insurnace managment ,"As a provider, I should be able to add, update & view the insurance details of patients.",Yes,Must have,Removed,2,2,
,Insurance,Multiple insurance policies ," As a Provider, I should be able to add Multiple insurance policies (Medicaid, Medicare, commercial, private pay) .",Yes,Must have,Removed,2,2,
,Insurance,Eligibility,"As a provider, I should be able to view eligibilty status of insurances.",Yes,Must have,Removed,4,4,
,Insurance,Eligibility check ,"As a provider, I should be able to check eligibility response by adding the below details.
 - Insurance type
 - Provider
 - Service",Yes,Must have,Removed,4,4,
,Insurance,Eligibility,"As a provider, I should be able to  view detailed patient insurance eligibility reports that include in-network status, deductible amount, and copay amounts for specific services so I can accurately estimate patient costs and avoid billing errors.",Yes,Must have,Removed,2,2,
,Credit card,Credit Card details,"As a provider, I should be able to view a list of card details and add, update, set as primary, and disable a card.",Yes,Must have,Removed,2,2,
,,,,,,,,,
,Profile,patient profile,"As a provider, I should be able to view and edit a basic overview of the patient profile including 
-Demographic
-Address
-Preference",Yes,Must have,Removed,2,2,
Care Plan,,,,,,,,,
,Care Plan,View & Edit Care Plan (Authorized Users),"As an authorized user (Executive Director, RCC, or Nurse), I should be able to view a detailed resident's care plan or daily care routine, derived from completed assessments, with full editing capabilities",Yes,Must have,Retained,6,6,
,Care Plan,Download Care Summary / Care Plan,"As a user, I should be able to download the care summary or care plan in PDF format for printing, sharing with family, or record keeping",Yes,Must have,Retained,2,2,
,Care Plan,Edit Care Instructions,"As an authorized user (Executive Director, RCC, or Nurse only), I should be able to edit care instructions in the care plan, including modifying assistance levels, care instructions, schedules, and staff assignments",Yes,Must have,Retained,12,12,
,Care Plan,Add Routine / Care Task,"As an authorized user (Executive Director, RCC, or Nurse), I should be able to add new routines or care tasks by entering:
Routine/Task Name, 
Instructions, 
Category, 
Schedule (repeat every day/week/specific days, select shift, select exact time), 
Start date & end date, and 
Assign to appropriate staff type (Care Staff or Med Tech), with system preventing scheduling conflicts",Yes,Must have,Retained,6,6,
,Care Plan,Schedule / Unschedule Routine or Care Tasks,"As a user, I should be able to schedule or unschedule care routines and tasks by:

- Repeat (every day, week)
- Select shift
- Select exact time",Yes,Must have,Retained,6,6,
Incident & Risk Management,,,,,,,,,
,Incident Management,View incident details,"As a user, i should be able to view added incidents details",Yes,Must have,Retained,These stories are covered in ADH and ALF Patient Charting with CRUD Operations,4,
,Expanded Incident Types,Multiple incident categories,"As a provider, I should be able to report various incident types including falls, medication errors, behavioral incidents, elopement attempts, and staff injuries using standardized forms.",Yes,Must have,Retained,4,4,
,Severity & Injury Coding,Standardized classification,"As a provider, I should be able to code incident severity levels and injury types using standardized classification systems for consistent reporting and analysis.",Yes,Must have,Retained,4,4,
,Incident,Add incident & notify person,"As a user, I should be able to add incidents via link or button, edit incident and include notified/informed person details.
1. Incident details (text area)
2. Tags
3. Date & time
4. Location
5. Incident related inquiries
6. Follow up actions
7. Document upload
8. Staff Involved",Yes,Must have,Retained,4,4,
,Incident,Mark incidents as done,"As a user, I should be able to complete tasks (mark as done)  for the respective notified person & notification should be sent",Yes,Must have,Retained,4,4,
,Incident,Close incidents,"As a user, I should be able to close incidents.",Yes,Must have,Retained,4,4,
,Incident,Upload Documents / photo,"As a user, I should be able to upload documents/ photos to incident reports, including state-approved images (like body diagrams or injury templates), so that I can clearly mark the incident details such as the location of injury and what happened",Yes,Must have,Retained,4,4,
,QA/PI,Incident Dashboard,"As an Administrator/QA Lead, I want to view a dynamic dashboard that displays incident trends by type, time of day, and location, so that I can identify systemic risks and prioritize quality improvement (PI) initiatives.",Yes,Must have,Retained,4,4,
,Communication,Notification Tracking,"As an Administrator, I want to be able to electronically track and document when and how key parties were notified (Family, Provider, State Agency), so that regulatory compliance is verifiable and communication records are centralized.",Yes,Must have,Retained,4,4,
,Review,Closure Workflow,"As a Nurse Manager, I want the system to require confirmation that all associated corrective actions are complete and notifications are tracked before an incident can be marked as closed, so that no step in the resolution process is overlooked.",Yes,Must have,Retained,4,4,
Intake forms,,,,,,,,,
,Intake,View Previous Intake forms,"As a Provider, I should be able to view list of patients previous intake forms.",Yes,Must have,Retained,2,2,
,Intake,Import intake,"As a Provider, I should be able to import previous intake into the current encounter.",Yes,Must have,Retained,4,4,
,Intake,Intake Workflow,"As an Admin, I need a multi-step intake wizard so that I can efficiently and accurately capture all required initial patient/resident information across various care programs (ADHS, ALF, Home Care, BH, NEMT).",Yes,Must have,Retained,12,12,
,Intake,Configurable Forms,"As an Admin, I need to be able to configure the set of required intake form fields and sections based on the selected Program (e.g., ALF vs. NEMT) and state-specific regulatory requirements, so that the system ensures compliance and gathers only relevant data for each intake.",Yes,Must have,Retained,12,12,
,,,,,,,,,
,Contact directory ,List of Contact directory ,"As a provider, I should be able to view list of Contact directories for Lab, insurance, providers, pharmacy and other partners.",Yes,Must have,Removed,2,2,
,Contact directory ,Create new contact,"As a provider, I should be able to add, update or delete contact.",Yes,Must have,Removed,2,2,
,Contact directory ,Filter Contact directory ,"As a provider, I should be able to Filter Contact directory.",Yes,Must have,Removed,2,2,
Analytics & Reports,,,,,,,,,
,"ADH — Medicaid Attendance Reporting
",,,,,,,,
,ADH - Billing,Medicaid Attendance Reporting,"As a Provider, I should be able to generate monthly Attendance Report for previous month's services.",,,New,,,
,ADH - Billing,Submit Attendance Report,"As a Provider, I should be able to submit monthly Attendance Report to state Medicaid.",,,New,,,
,ADH - Billing,Track Report Submission Status,"As a Provider, I should be able to track submission status and acknowledgment from state for monthly reports.",,,New,,,
,ADH - Billing,View Attendance Report History,"As a Provider, I should be able to view historical Attendance Reports for audit and reconciliation purposes.",,,New,,,
,Live Census by Level of Care,Real-time census dashboard,"As a provider, I should be able to view real-time census broken down by facility, program, and level of care to monitor capacity utilization.",Yes,Must have,Retained,8,8,
,Utilization Metrics,Attendance & utilization tracking,"As a provider, I should be able to track attendance and utilization metrics including average daily attendance, capacity percentage, and no-show rates.",Yes,Must have,Retained,8,8,
,Staffing vs Census Ratios,Hours per patient day,"As a provider, I should be able to monitor staffing levels compared to census with metrics like hours per patient day to ensure appropriate care ratios.",Yes,Must have,Retained,8,8,
,Incident Rate Trending,QI trend analysis,"As a provider, I should be able to analyze incident rates and trends for falls, medication errors, and behavioral incidents over time.",Yes,Must have,Retained,8,8,
,Hospitalization & ER Tracking,Measure care effectiveness,"As a provider, I should be able to track rates of hospitalization and emergency room usage to measure care effectiveness and identify high-risk members.",Yes,Must have,Retained,8,8,
,Service Plan Outcomes,Goal achievement tracking,"As a provider, I should be able to track progress toward service plan goals and measure outcomes to demonstrate care effectiveness.",Yes,Must have,Retained,8,8,
,Charge/Claim/Payment Volumes,Financial KPIs,"As a provider, I should be able to monitor charge volumes, claims submitted, and payments received segmented by payer and program.",Yes,Must have,Retained,8,8,
,Cash Collection Trends,Track A/R aging trends,"As a provider, I should be able to track accounts receivable aging trends and cash collections over time to monitor financial health.",Yes,Must have,Retained,8,8,
,Clinical reports,Clinical reports,"As a provider I should be able to export selected patient's report to file in the following formats-
-CSV File
-PDF file",Yes,Must have,Retained,8,8,
,Reports,Filters all reports based on selection,"As a provider, I should be able to filter each type of report based on a respective filter.",Yes,Must have,Retained,8,8,
AI & Automation,,,,,,,,,
,One-Click Note Drafts,AI-generated progress notes,"As a provider, I should be able to generate draft progress notes with one click by leveraging structured data including vitals, ADLs, and patient history.",Yes,Nice to have,Retained,12,24,
,Regulatory-Aligned Phrasing,AI documentation suggestions,"As a provider, I should receive AI suggestions for documentation phrasing that aligns with regulatory standards and best practices.",Yes,Nice to have,Retained,12,24,
,Missing Element Highlighting,Completeness validation,"As a provider, I should be alerted when required elements are missing from clinical documentation before submission.",Yes,Nice to have,Retained,12,24,
,Attendance Anomaly Detection,Flag attendance changes,"As a provider, I should be alerted when there are sudden changes in a member's attendance patterns that may indicate health or social issues.",Yes,Nice to have,Retained,12,24,
,Fall & ER Pattern Flagging,Identify risk patterns,"As a provider, I should receive automatic flags when a member exhibits patterns of frequent falls or emergency room visits.",Yes,Nice to have,Retained,12,24,
,Predictive Risk Scores,Hospitalization risk prediction,"As a provider, I should be able to view AI-generated risk scores predicting likelihood of hospitalization or institutionalization.",Yes,Nice to have,Retained,12,24,
,AI Claim Scrubber,Pre-submission validation,"As a provider, I should be able to run claims through an AI-based scrubber before submission that validates CPT/ICD-10 code pairings, checks for missing required fields, identifies inconsistencies against PA records, assigns a denial risk score based on historical rejection patterns, and flags high-risk claims for manual review with suggested corrective actions",Yes,Nice to have,Modified,12,24,
,Modifier & Code Suggestions,AI coding assistance,"As a provider, I should receive AI suggestions for appropriate modifiers and diagnostic codes based on encounter documentation details.",Yes,Nice to have,Retained,12,24,
,Smart Staffing Suggestions,AI-powered scheduling,"As a provider, I should receive AI-powered staffing recommendations based on census projections, patient acuity levels, and required skill mix.",Yes,Nice to have,Retained,12,24,
,Route Optimization,AI route planning,"As a provider, I should receive AI suggestions for optimal transportation routes considering traffic patterns, member locations, and time windows.",Yes,Nice to have,Retained,12,24,
  ,Automated Reminders,Expiration notifications,"As a provider, I should receive automated reminders for expiring credentials, authorizations, and compliance tasks with configurable advance notice.",Yes,Nice to have,Retained,12,24,
,Lead Management and CRM, Call Auto-Transcription,"As a provider, I want calls made through the RingCentral integration to be automatically transcribed in real-time, with the transcript attached to the lead's or resident's communication timeline, so that no verbal information is lost and all call content is searchable and reviewable.",,,New,,,
,Lead Management and CRM,"AI Call Summary Generation
","As a provider, I want AI to generate a structured call summary after each inquiry or follow-up call, extracting key information including: patient condition discussed, medical history highlights, family concerns raised, decision outcome, and recommended next action items",,,New,,,
,AI and Automation,"Patient-Specific Clinical Recommendations
","As a provider, I should receive AI-generated, patient-specific clinical recommendations (e.g., medication review needed, fall risk protocol activation, therapy adjustment, hydration monitoring) based on the individual resident's health history, recent vitals, incident patterns, and care activity trends, so that I can make proactive care decisions rather than only reacting to events.",,,New,,,
,AI and Automation,Pain Scale Anomaly Detection,"As a provider, after recording a pain scale entry for a resident, AI should automatically compare the score against the resident's established baseline and flag any sudden or significant increase, alerting the assigned RN and facility director so that pain escalation is caught early and intervention can be initiated.",,,New,,,
,AI and Automation,Intelligent Care Planning,"As a Nurse/RN, I want the AI to analyze a new resident's captured medical conditions and ICD-10 codes so that it can suggest the most relevant care plan templates from the master library of 30-50 templates, reducing manual search time and ensuring the most appropriate templates are selected at onboarding.",,,New,,,
,AI and Automation,Risk-Based Suggestions,"As a Provider, I want the system to suggest specific safety interventions (e.g., fall protocols or diabetic monitoring) based on flagged risk scores and vital sign baselines captured during the initial assessment.",,,New,,,
,AI and Automation,Automated Pre-population,"As a Provider, I want the AI to pre-populate the ""Problem"" and ""Approach"" fields in a suggested template using the resident's specific clinical findings so that I only need to review and set the personalized goals.",,,New,,,
,AI and Automation,Compliance Alignment,"As a Provider, I want the AI to verify that the selected care plan templates and suggested documentation phrasing align with state-specific regulatory standards for the facility's location (e.g., Georgia vs. Washington vs. Texas), so that all clinical records are compliant with the applicable state's requirements without manual cross-referencing of state regulations.",,,New,,,
,AI and Automation,AI Scribe for Incident Intervention Guidance,"As a Provider, when I am documenting a major incident, the AI Scribe should prompt me through a guided intervention checklist based on the incident type (e.g., for a fall: ""What are the symptoms? Has the hospital been called? Is the patient showing signs of concussion? Has the family been notified?"" — for a wandering incident: ""Where was the resident found? How long were they missing? Were doors/alarms functioning?""), so that I follow correct clinical protocol and capture all required information even when a supervisor or RN is not available on-site at 2 AM.",,,New,,,
